Serial,file,document_type,title,theme,year,link,Summary
1,1_document.pdf,Discussion Paper,Transition Plan for Climate Change Mitigation Implementation Guidance - Cover note,Climate,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1_document.pdf,The EFRAG Secretariat prepared a draft Implementation Guidance for Transition Plans on Climate Change Mitigation
2,2_document.pdf,Standards Document,PEFC ST 1003:2024 Sustainable Forest Management â€“ Requirements,Forestry,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2_document.pdf,"PEFC ST 1003:2024 outlines requirements for sustainable forest management, detailing scope, governance, planning, operations, evaluation, and improvement. Developed through transparent stakeholder processes, it supports certification systems, ensures ecological, social, and ethical standards, aligns with regulatory frameworks like EUDR, and promotes responsible sourcing, smallholder inclusion, and internationally consistent forest certification practices."
3,3_document.pdf,Report,"Navigating the Nexus of Business, Health, and Planetary Well-being A BCSDA Survey & Report",Health & Safety,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/3_document.pdf,"Businesses face shifting work landscapes, technology, climate change, and pandemic impacts, worsening health inequities especially for marginalized groups. A July 2023 BCSD Australia survey of 97 respondents highlights mental health concerns, consumer ecoâ€‘preferences, trust in government, and productivity drivers like workâ€‘life balance, while noting training gaps as barriers for employees."
4,4_document.pdf,Keynote Speech,Implementing human rights due diligence in global supply chains,Human Rights,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/4_document.pdf,"The keynote stresses that humanâ€‘rights due diligence is the core tool for businesses to meet the UN Guiding Principles and the SDGs. Anita Ramasastry outlines the â€œNext Decade of BHRâ€ project, which reviews the first ten years of the Guiding Principles and charts a roadmap for full global implementation over the next decade. She highlights how the COVIDâ€‘19 crisis exposed gaps in voluntary measuresâ€”many firms scored zero on dueâ€‘diligence benchmarksâ€”and argues that mandatory, legally binding regimes (already emerging in the EU and other jurisdictions) are now essential. Key recommendations include covering all recognised rights, extending beyond supply chains, requiring substantive processes and outcomes, ensuring access to justice and remedy, and establishing clear monitoring and enforcement. The speech also stresses the financial sectorâ€™s role, urging investors to adopt dueâ€‘diligence, and calls for business organisations to adopt it as a membership criterion. Overall, the message is that dueâ€‘diligence must become standard practice, not optional, to protect workers and other stakeholders worldwide."
6,6_document.pdf,Brochure,WBCSD Energy & Climate CO2 Prices   CO2 Prices as an Instrument of Climate Policy,Decarbonisation,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/6_document.pdf,"The document is a WBCSDâ€‘Vision 2050 briefing on COâ‚‚â€‘pricing as a climateâ€‘policy instrument. It explains that a COâ‚‚â€‘price internalises the external cost of emissions, thereby shifting consumer and producer behaviour toward lowerâ€‘footprint goods and services. Four main pricing mechanisms are outlined: explicit taxes, capâ€‘andâ€‘trade, baselineâ€‘andâ€‘credit (intensityâ€‘based) and efficiency norms, each with its own implementation challenges (measurement, monitoring, market power, regulatory overlap). The text stresses that a global, stable price is essential to avoid competitive distortions and to give firms clear signals for investment in lowâ€‘carbon technologies. It also highlights the need for complementary measures (R&D subsidies, tax relief, removal of fossilâ€‘fuel subsidies) and warns that poorly designed regulations can delay or reverse emissions reductions. Overall, the analysis argues that a wellâ€‘designed COâ‚‚â€‘price, combined with supportive policies, is the most efficient way to drive the transition to a sustainable, lowâ€‘carbon economy."
7,7_document.pdf,Report,Climate Action in 2017: Insights into the readiness of Australian business to disclose climate-related financial risks and opportunities,Reporting & Disclosure,2017,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/7_document.pdf,"The 2017 â€œClimate Actionâ€ report is a concise guide for Australian businesses on how to prepare for and meet the Financial Stability Boardâ€™s Task Force on Climateâ€‘Related Financial Disclosure (TCFD) recommendations. It opens with forewords from three CEOs stressing that climate risk is now a core business risk, that investors and regulators are demanding disclosure, and that failure to act could expose directors to liability. The main body is divided into four sections: an introduction that explains the regulatory and investor context; a review of landmark global and Australian developments (Paris Agreement, SDGs, legal opinions, APRA and Senate findings); a detailed analysis of CDP 2016 submissions that shows that only about 41 % of ASX200 companies reported, with the highest reporting in finance, materials, energy and utilities and the lowest in IT, healthcare and consumer discretionary; and a comparison of CDP insights with TCFD core recommendations that highlights gaps in governance, strategy, risk management, metrics and disclosure. The report concludes with a practical â€œActions for Businessâ€ checklist that urges CEOs, boards and CFOs to embed scienceâ€‘based decarbonisation planning, adopt cleanâ€‘energy targets, integrate climate risk into financial reporting and communicate transparently with investors, regulators and communities. Overall, the document serves as a call to action and a roadmap for Australian firms to align their climate disclosures with the emerging global â€œgold standard.â€"
8,8_document.pdf,Brochure,Sustainable Urban Mobility SiMPlify,Mobility,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/8_document.pdf,"SiMPlify is a dataâ€‘driven, multiâ€‘stakeholder framework developed by the World Business Council for Sustainable Development (WBCSD) to help cities design inclusive, sustainable mobility plans. It combines a webâ€‘based tool (www.wbcsdsmp.org) that hosts 200+ bestâ€‘practice solutions with a set of quantitative and qualitative indicators covering accessibility, safety, affordability, environmental impact, and public finance. City representatives create an account, input data, run citizen surveys, and generate a spider chart that visualises strengths and gaps. Stakeholder dialogues then select priority indicators and build a tailored solutions portfolio, which the tool records and turns into a formal mobility plan. The approach has been adopted by over 50 European cities (including 6 nonâ€‘EU) and is endorsed by the European Commission. The analysis shows that SiMPlifyâ€™s strength lies in its integrative, evidenceâ€‘based methodology and its emphasis on stakeholder engagement, enabling cities to accelerate implementation of clean, multimodal mobility solutions."
9,9_document.pdf,Guide,Guidelines on reporting climate-related information,Reporting & Disclosure,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/9_document.pdf,"The European Commissionâ€™s 2019 supplement on climateâ€‘related reporting is a nonâ€‘binding set of guidelines aimed at companies covered by the Nonâ€‘Financial Reporting Directive (2014/95/EU). It builds on the 2017 Nonâ€‘Binding Guidelines and the Task Force on Climateâ€‘Related Financial Disclosures (TCFD) recommendations, encouraging integration of climate information into mainstream annual filings rather than separate reports. The document explains why new guidance is neededâ€”EU climate targets, investment gaps, and the need for better risk assessmentâ€”and outlines the benefits for reporting firms, including improved risk management, lower capital costs, enhanced stakeholder dialogue, and stronger reputation. It stresses that disclosures must be material (financial and environmental/social), fair, concise, forwardâ€‘looking, stakeholderâ€‘oriented, and consistent. The guidelines provide a flexible framework, acknowledging sectoral differences and evolving methodologies, and advise companies to keep disclosures upâ€‘toâ€‘date with scientific evidence. The structure covers business model, policies, outcomes, risks, KPIs, and includes annexes for banks, insurers, and a mapping of TCFD disclosures to Directive requirements. The overall aim is to improve the quantity, quality, and comparability of climateâ€‘related information to support sustainable investment and risk management across the EU."
10,10_document.pdf,Statement,UN Guiding Principles Reporting Framework Investor Statement,Human Rights,2017,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/10_document.pdf,"Investors endorse the UN Guiding Principles Reporting Framework as a tool for improving corporate disclosure and management of human rights risks. It emphasizes due diligence, governance, and transparency, linking human rights performance to financial stability, risk mitigation, stakeholder trust, and competitive advantage while guiding companies in identifying and addressing salient human rights impacts. "
11,11_document.pdf,Guide,FUTURES THINKING: A guide to using futures thinking to help drive corporate resilience and transformational innovation sustainable lifestyles,Corporate Strategy,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/11_document.pdf,"Futures Thinking guide explains how companies can use futureâ€‘scenario methods to design resilient strategies, inspire sustainable lifestyles, and overcome entrenched mindsets. It outlines Vision 2050, highlights systemic barriers, and showcases examples from Accenture, Shell, Nike, and others, urging businesses to imagine transformative futures beyond incremental efficiency gains for long term impact"
12,12_document.pdf,Report,Methods for CMTT Generation,Materials,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/12_document.pdf,"Methods for generating cryogenically ground tread materials (CMTT) are described, including tread removal, processing, and mass distribution. The report outlines tire types, discusses uncertainties in rubber composition and particle size, and highlights additional considerations. Cardno ChemRisk prepared it for the Tire Industry Project and World Business Council, emphasizing safety compliance."
13,13_document.pdf,Final report,Title: Taxonomy   Sub-title: Final report of the Technical Expert Group on Sustainable Finance March 2020,Sustainable Finance,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/13_document.pdf,"EU Taxonomy report outlines criteria for economic activities, detailing climate mitigation, adaptation, water, circular economy, pollution, biodiversity objectives. It explains technical screening thresholds, safeguards, disclosure obligations for issuers, companies, and financial market participants, and provides guidance on disclosure methods, verification, and sector classification to facilitate green financing and policy implementation."
14,14_document.pdf,Research Paper,How a century of ammonia synthesis changed the world,Food & Agriculture,2008,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/14_document.pdf,"The article reviews the Haberâ€“Bosch ammonia synthesis, highlighting its dual legacy: it enabled modern agriculture and biofuels while also fueling explosive warfare and environmental degradation. It quantifies the processâ€™s contribution to global food security (â‰ˆ48 % of the population fed in 2008) and its current nitrogenâ€‘use efficiency (~30 % for cereals). It then projects future nitrogen demand under IPCCâ€‘style scenarios, showing that population growth, meatâ€‘centric diets, and biofuel expansion will likely raise fertilizer use to 100â€“200 Tg N yrâ»Â¹, despite anticipated efficiency gains. The piece concludes that sustainable innovationâ€”improved nitrogenâ€‘use efficiency, alternative protein sources, and reduced biofuel relianceâ€”is essential to mitigate the projected â€œnitrogenâ€‘saturatedâ€ planet."
15,15_document.pdf,Brochure,Zero Emissions Cities,Sustainable Cities,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/15_document.pdf,"In 2050, two thirds of the global population will live in cities, driving increased GHG emissions. The Zero Emissions Cities project, led by WBCSD, partners with city governments and solution providers to transform energy systems, mobility, buildings, and waste, aiming for climate neutrality through collaboration and innovation and measurable outcomes."
17,17_document.pdf,Study,An agroecological Europe in 2050: multifunctional agriculture for healthy eating,Food & Agriculture,2018,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/17_document.pdf,"Agroecology is proposed as a systemic transition for Europe by 2050, phasing out pesticides and synthetic fertilizers, expanding grasslands and agroâ€‘ecological infrastructures, and adopting healthier diets with fewer animal products. The TYFA model predicts a 35 % production decline yet maintains food security, reduces GHG emissions by 40 %, and restores biodiversity."
18,18_document.pdf,Programme Preview,Programme Preview: 3rd SDG Business Forum,Sustainable Cities,2018,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/18_document.pdf,"Third SDG Business Forum held July 17, 2018 at UN Headquarters, New York, convened business, government, and civil society leaders to discuss Sustainable Development Goals. Sessions covered business as catalyst, responsible leadership, innovation, urban sustainability,"
19,19_document.pdf,Report,2019 IPBES Biodiversity and Ecosystem Services report - summary brief for business,Biodiversity,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/19_document.pdf,"IPBES 2019 report warns of accelerating biodiversity loss, links climate change, land use, and pollution to ecosystem decline, urging businesses to adopt scienceâ€‘based targets, restore nature, and align models with sustainability goals; WBCSD outlines action projects, natureâ€‘based solutions, and collaborative coalitions to meet SDGs and Paris Agreement for future development."
20,20_document.pdf,Report,Task Force on Climate-related Financial Disclosures: Status Report 2019,Reporting & Disclosure,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/20_document.pdf,"The Task Force on Climateâ€‘related Financial Disclosures released a 2019 status report detailing progress in corporate climate risk disclosure, noting increased but"
21,21_document.pdf,Research Paper,Miningâ€™s Impacts on Forests: Aligning Policy and Finance for Climate and Biodiversity Goals,Forestry,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/21_document.pdf,"Miningâ€™s Impacts on Forests examines how mineral extraction threatens global forests, highlighting indirect and cumulative damage, especially in lowâ€‘income countries. It calls for forestâ€‘smart policies, integrated monitoring, and transparent carbon offset use to align mining with Paris goals, urging stakeholders to adopt mitigation hierarchies, restoration, and equitable finance mechanisms today."
22,22_document.pdf,Brief,2020 Dasgupta Interim Report on the Economics of Biodiversity - summary brief for business,Biodiversity,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/22_document.pdf,"Dasgupta Interim Review highlights biodiversity as a vital asset, urging businesses to treat nature like capital, invest in conservation, and adopt science"
23,23_document.pdf,Report,2020 Food & Beverage BENCHMARK FINDINGS REPORT,Human Rights,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/23_document.pdf,"COVIDâ€‘19 exposed foodâ€‘beverage supply chain inequities, revealing forced labor and unsafe conditions. The 2020 benchmark assessed 43 major firms, scoring an average 28/100, with Tesco leading at 65/100 and meat giants like WH Group scoring near zero. Findings highlight weak purchasing practices, limited worker voice, and call for investorâ€‘driven reforms."
24,24_document.pdf,Research Report,2020 State of Curbside Recycling Report,Waste,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/24_document.pdf,"State of Curbside Recycling Report 2020 analyzes U.S. curbside recycling performance, highlighting 32% material capture, 17% contamination, and economic pressures. It outlines challenges, best management practices, and stakeholder roles, emphasizing access, participation, and funding to improve efficiency, reduce emissions, create jobs, and advance a circular economy for future growth sustainability."
25,25_document.pdf,Report,COVID-19 IMPACT   Modern Slavery During the COVID-19 Pandemic,Human Rights,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/25_document.pdf,"The report reviews 3,762 helpline contacts during Marchâ€“September 2020, noting a 56% drop from 2019 yet similar modern slavery case numbers (848 vs 884). Labour exploitation remained dominant, with 261 cases, while sexual exploitation rose to 15.4%. A detailed Irana case illustrates pandemicâ€‘related forced labour and support services for victims."
26,26_document.pdf,Guide,Guidelines for planning and monitoring corporate biodiversity performance,Biodiversity,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/26_document.pdf,"IUCN publishes guidelines guiding businesses to assess, plan, and monitor biodiversity impacts, outlining a fourâ€‘stage approach that identifies impacts, sets visions, develops indicators, and aggregates data, while emphasizing stakeholder collaboration, legal neutrality, and support from global partners, aiming to integrate conservation into corporate strategy for sustainable development and economic growth."
27,27_document.pdf,Research Paper,Food system impacts on biodiversity loss: Three levers for food system transformation in support of nature,Biodiversity,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/27_document.pdf,"Food system transformation is urgently required to halt biodiversity loss driven by intensive agriculture, monoculture, and land conversion. Three leversâ€”plantâ€‘centric diets, reduced waste, and natureâ€‘friendly farmingâ€”are proposed. The paper highlights climate impacts, zoonotic risks, and calls for coordinated global policy action to safeguard ecosystems and human health for sustainable futures."
28,28_document.pdf,Press Release,CLP Commits to Net-Zero Emissions by 2050,Decarbonisation,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/28_document.pdf,"CLP Group announced a 2050 Climate Vision, committing to netâ€‘zero greenhouse gas emissions and accelerating coal phaseâ€‘out by 2040. Updated targets include scienceâ€‘based 2030 goals and stronger 2040 milestones aligned with limiting warming to wellâ€‘below 2Â°C. The plan prioritises lowâ€‘carbon power, renewables, smart technologies, and customer efficiency for future generation"
29,29_document.pdf,White Paper,Bayerâ€™s Offsetting Approach Content,Climate,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/29_document.pdf,"Bayer outlines its 2030 climate neutrality goal, detailing emission reduction targets, natureâ€‘based offset projects, and criteria for forestry and agriculture initiatives. It emphasizes transparency, additionality, permanence, and coâ€‘benefits, while engaging partners and risk management to support highâ€‘quality carbon credits that align with scienceâ€‘based targets and UN SDGs and global commitments."
30,30_document.pdf,Standards Document,SFI 2022 Forest Management Standard,Forestry,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/30_document.pdf,"Forest Management Standard outlines forestry principles, objectives, and performance measures for certified organizations in the United States and Canada. It covers planning, health, water protection, biodiversity, aesthetics, special sites, legal compliance, research, training, community involvement, Indigenous rights, climate smart practices, fire resilience, fiber sourcing, and continual improvement, ensuring effective stewardship."
31,31_document.pdf,Brochure,Our Sustainability & Responsibility Commitments and Initiatives 2023,Sustainable Production,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/31_document.pdf,"Pernod Ricardâ€™s 2023 Sustainability & Responsibility roadmap, titled Good Times from a Good Place, outlines governance, commitments, and measurable targets across four pillarsâ€”Nurturing Terroir, Valuing People, Circular Making, and Responsible Hostingâ€”while reporting ESG ratings, employee engagement, regenerative agriculture, and circular packaging initiatives aimed at 2030 carbon, water, and biodiversity goals."
32,32_document.pdf,Sustainability Report,2023 Sustainable in a Generation Report The world we want tomorrow starts with how we do business today,Sustainable Business,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/32_document.pdf,"2023 Sustainable in a Generation Report outlines Mars' commitment to profitable growth while reducing environmental impact. CEO letter emphasizes profit and purpose alignment, citing 16% GHG reduction since 2015 and 60% business growth. Three pillarsâ€”Healthy Planet, Thriving People, Nourishing Wellbeingâ€”guide actions on climate, supply chain, and employee wellbeing and sustainability."
33,33_document.pdf,Guide,"Reducing risks, raising resilience, reaping returns A guide to investing in landscape restoration to sustain agrifood supply chains",Regenerative Landscapes,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/33_document.pdf,"Guide explains why agribusinesses should invest in landscape restoration to protect natural capital, reduce supplyâ€‘chain risks, enhance resilience, and deliver tripleâ€‘bottomâ€‘line returns. It outlines six key components, tools, financing strategies, monitoring indicators, and three case studies, while highlighting IUCN and FOLU collaboration and global natureâ€‘positive targets for sustainable futures today."
34,34_document.pdf,Technical document,Nature positive for business: Developing a common approach,Nature,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/34_document.pdf,"The IUCN publication outlines a shared framework for businesses to become nature positive, integrating mitigation hierarchy, holistic actions, and measurable targets aligned with global goals. It emphasizes collaboration across value chains, stakeholder engagement, and adaptive monitoring to reverse nature loss, while respecting indigenous rights and promoting transparent disclosure and accountability."
35,35_document.pdf,Report,2023 Food and Agriculture Benchmark Insights Report,Food & Agriculture,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/35_document.pdf,"2023 Food and Agriculture Benchmark assessed 350 influential companies, revealing gaps in accountability, slow climate progress, and limited regenerative agriculture input optimisation. Top performers include"
36,36_document.pdf,Meeting Minutes,Minutes of the WBCSD AGM   ,Corporate Strategy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/36_document.pdf,"Minutes recorded WBCSD AGM held 29 November 2023, with 86 voting members. Chair Ilham Kadri opened, discussed voting procedures, antiâ€‘trust compliance, and CEO update. Peter Bakker presented audited 2022 statements, membership growth, transformation priorities, budget 2024, and new auditor BDO. Executive Committee appointments and budget approvals passed unanimously and successfully."
37,37_document.pdf,Meeting Minutes,Minutes of the WBCSD AGM   29 November 2023 at 14:00-14:45 GST (Hybrid),Corporate Strategy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/37_document.pdf,"Minutes of the WBCSD AGM held 29 November 2023 recorded 86 voting members, Chair Ilham Kadri welcomed participants, reminded antiâ€‘trust compliance, and explained voting procedures. CEO update highlighted audited 2022 statements, CHF 520 k surplus, membership growth, transformation priorities, new auditor BDO, 2024 budget, and Executive Committee appointments. All resolutions passed unanimously."
38,38_document.pdf,Statement,"G7 Climate, Energy and Environment Ministersâ€™ CommuniquÃ©",Climate,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/38_document.pdf,"On April 16, 2023, G7 ministers in Sapporo condemned Russiaâ€™s war, pledged support for Ukraineâ€™s green reconstruction, and reaffirmed commitments to climate action, netâ€‘zero by 2050, 1.5Â°C, and the Kunmingâ€‘Montreal Biodiversity Framework. They outlined actions on energy security, natureâ€‘based solutions, finance mobilization, inclusion, indigenous rights, gender equality, and just transition."
39,39_document.pdf,Report,The Ongoing Evolution of Sustainable Business 2023 Trends Report,Sustainable Finance,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/39_document.pdf,"2023 sustainability trends highlight ESG integration, human capital valuation, climate response, supply chain"
40,40_document.pdf,Meeting Minutes,Minutes of the WBCSD Annual General Meeting,Corporate Strategy,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/40_document.pdf,"WBCSD held its 2024 Annual General Meeting online with 90 council members, reviewing strategy, financials, and executive appointments. The chair welcomed participants, reminded antitrust compliance, and explained voting procedures. CEO Peter Bakker updated on sustainability strategy, membership growth, fee increases, and budget projections, while all resolutions passed unanimously for all"
41,41_document.pdf,Presentation,Our Path to Net Zero 2045,Decarbonisation,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/41_document.pdf,"Document outlines a decarbonisation roadmap targeting net zero by 2045, detailing phased strategies across scopes 1, 2, and 3, including emissions abatement, circularity, product lifecycle assessments, supplier"
43,43_document.pdf,Report,2030 MILESTONE FOR THE ECOLOGICAL TRANSITION,Decarbonisation,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/43_document.pdf,"EpEâ€™s 2030 Milestone report outlines Franceâ€™s ecological transition roadmap, detailing thirteen key challenges, sectoral roadmaps, financing strategies, and twelve priorities, while urging businesses, authorities, and citizens to collaborate on decarbonisation, circularity, biodiversity protection, and social equity, supported by case studies on automobiles, yoghurt, and insulation to illustrate integrated solutions today"
44,44_document.pdf,Technical document,DRAFT EUROPEAN SUSTAINABILITY REPORTING STANDARDS,Reporting & Disclosure,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/44_document.pdf,"This document compares IFRS S1 with draft ESRS 1 and 2, mapping disclosure requirements, objectives, materiality concepts, governance, strategy, risk management, and metrics. It outlines how ESRS incorporates IFRS principles, expands double materiality, and prescribes sectorâ€‘agnostic reporting, connectivity with financial statements, and detailed governance disclosures for boards and committees overall"
45,45_document.pdf,Framework Document,TNFD Nature-related Risk and Opportunity Registers,Nature,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/45_document.pdf,"TNFD Natureâ€‘related Risk and Opportunity Registers provide a structured template for organisations to identify, assess, and manage natureâ€‘related risks and opportunities across product, entity, and site levels. The registers capture realms, exposure, magnitude, risk ratings, responsibilities, and links to ecosystem services, enabling integration into risk taxonomies and LEAP Assess phases."
46,46_document.pdf,Methodology,VBA METHODOLOGY V0.2 â€“ IMPACT STATEMENT: DOWNSTREAM â€“ INDUSTRY-AGNOSTIC GUIDANCE,Sustainable Finance,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/46_document.pdf,"The Value Balancing Alliance presents a V0.2 Impact Statement methodology for quantifying downstream impacts across industries, defining distribution, processing, use, and endâ€‘ofâ€‘life phases, and offering a threeâ€‘step approach: cluster product portfolios, model detailed downstream processes, and quantify impacts using data sources, while highlighting challenges, theoretical background, and future development areas."
47,47_document.pdf,Report,Scaling up and de-risking the sustainable transition in agriculture,Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/47_document.pdf,"The document discusses scaling up sustainable agriculture, emphasizing holistic approaches that benefit farmers, climate, and nature. It highlights the need for crossâ€‘sector collaboration, innovative financing, and policy reforms to deâ€‘risk transitions. Young farmers, industry leaders, and policymakers call for integrated valueâ€‘chain solutions and publicâ€‘private platforms to accelerate regenerative practices today."
49,49_document.pdf,Report,Net Zero Transition Plan 2025,Sustainable Finance,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/49_document.pdf,"HSBC Holdings plc outlines its updated Net Zero Transition Plan, detailing a 2050 netâ€‘zero ambition, 2030 sustainable finance targets, customerâ€‘focused support, operational emissions reductions, and risk management. The plan emphasizes global reach, simplified structure, and partnership to mobilise capital for clean energy, while addressing policy uncertainties and sectorâ€‘specific challenges today."
50,50_document.pdf,Report,2023 CLIMATE REPORT,Decarbonisation,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/50_document.pdf,"Holcimâ€™s 2023 Climate Report details record decarbonization progress, achieving 20% CO2 reduction per net sales, advancing lowâ€‘carbon cement, circular construction, and carbon capture projects. It outlines scienceâ€‘based netâ€‘zero targets, circularity initiatives, ESG disclosures, and partnership commitments, positioning the company as a leader in sustainable building solutions and climate action today."
51,51_document.pdf,Presentation,Costco: How Our Ethics Evolved Over the First 30 Years,Ethics & Transparency,2015,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/51_document.pdf,"Costcoâ€™s 30â€‘year journey, narrated by coâ€‘founder Jim Sinegal, highlights ethical leadership, employee devotion, and customer loyalty as foundations for rapid growth. The lecture, part of Bentleyâ€™s Raytheon Business Ethics series, showcases how integrity, minimal advertising, and disciplined pricing drove Costcoâ€™s expansion, global presence, and $110 billion revenue in the past years."
52,52_document.pdf,Press Release,Partnership of Producers in Focus with the Forest Investor Club for Scalability,Forestry,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/52_document.pdf,"Soft Commodities Forum announces partnership with Forest Investor Club to accelerate private investment in forestâ€‘positive land use, aligning with the 1.5 Â°C Agricultural Sector Roadmap. The collaboration supports supplyâ€‘chain action plans, sustainable landâ€‘use investment, and sector dialogue, aiming to reduce emissions, enhance nature outcomes, and promote equity through corporate stakeholder engagement."
53,53_document.pdf,Case study,Bioethanol activities in Brazil: Case study. Good practices and lessons learned on the setup and implementation of National Systems of Innovation,Energy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/53_document.pdf,"Brazilâ€™s bioethanol innovation system evolved from sugarâ€‘cane diversification to national energy security, driven by ProÃlcool and later RenovaBio. Bottomâ€‘up experimentation, topâ€‘down policies, and coordinated networks overcame fragmentation, enabling flexibleâ€‘fuel vehicles and market expansion. Legislative milestones, funding agencies, and sustainability goals shaped a long, adaptive trajectory through policy, innovation, research, collaboration."
54,54_document.pdf,Standards Document,General Requirements for Disclosure of Sustainability-related Financial Information,Reporting & Disclosure,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/54_document.pdf,"HKFRS S1 establishes general requirements for disclosing sustainability-related financial information, outlining objectives, scope, and core elements such as governance, strategy, risk management, and metrics. It emphasizes materiality, fair presentation, and connectivity of information, guiding entities in producing consistent, comparable, and decision-useful sustainability disclosures while adhering to IFRS Foundation copyright and usage conditions. "
55,55_document.pdf,Proposed Rulemaking Release,The Enhancement and Standardization of Climate-Related Disclosures for Investors,Reporting & Disclosure,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/55_document.pdf,"The Securities and Exchange Commission proposes amendments requiring registrants to disclose climate-related risks, greenhouse gas emissions, and related financial metrics in registration statements and annual reports, aiming to provide investors consistent, comparable information to assess material impacts on business and financial condition, thereby enhancing transparency and protecting investor interests today"
56,56_document.pdf,Report,Title: Alignment of Landscape Metrics   Subtitle: ,Land Use,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/56_document.pdf,"The document outlines a joint effort by the Soft Commodities Forum and Forest Positive Coalition to align metrics for transforming agricultural landscapes. It details shared responsibilities, monitoring frameworks, and key indicators, emphasizing collective"
57,57_document.pdf,Press Release,50 Liter Home Coalition â€“ Media release,Water,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/57_document.pdf,"50L Home Coalition announces new waterâ€‘innovation phase, partnering Electrolux, IKEA, Kohler, P&G to pilot energyâ€‘saving solutions in Los Angeles homes and run Phoenix tactical pilots, aiming to reduce consumption, support policy updates, and demonstrate scalable, holistic retrofits that align with UN Sustainable Development Goals and global water security for communities"
